Date,Id,Open,High,Low,Close,Volume,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,m_low,m_high,m_close,m_open,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,TwoDayHigh,TwoDayLow,FiveDayHigh,FiveDayLow,SMA100,SMA50,SMA21,SMA14,SMA7,AVVol,RSI,P,S1,S2,S3,R1,R2,R3,m_P,m_S1,m_S2,m_S3,m_R1,m_R2,m_R3,C_m_R1,C_m_R2,C_m_S1,C_m_S2,Tenkan-sen,Kijun-sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,BB_UL_Per,Support,Resistance,DCL_10_15,DCM_10_15,DCU_10_15
22-03-2022,109,3640,3711,3625,3700.95,2907610,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3441.959007,3589.5925,3737.225993,8.225640825,0.877141723,-11.98213363,19.14646188,-31.1285955,3713.95,3615,3713.95,3580,3646.52,3665.45,3637.11,3631.4,3646.39,3193425,54.47,3651.88,3589.81,3552.93,3453.98,3688.76,3750.83,3849.78,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,3.14,10.5,8.66,16.27,3646.975,3622.6,3634.7875,3717.05,3546.7,8.58,,,3460,3586.975,3713.95
23-03-2022,110,3708,3729.8,3690,3712.4,1596200,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3442.813346,3589.2425,3735.671654,8.159334704,0.92053613,-4.730299934,21.11863646,-25.84893639,3729.8,3625,3713.95,3585.4,3647.82,3667.29,3643.96,3642.2,3662.89,3182660,55.31,3678.98,3646.96,3592.98,3506.98,3732.96,3764.98,3850.98,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,2.62,9.94,10.61,18.35,3654.9,3622.6,3638.75,3717.05,3542.4,8.51,,,3580,3654.9,3729.8
24-03-2022,111,3700,3758.2,3695,3749.85,1879050,3507.92428,1,3507.92428,3727.004529,3391.1,3882.5,3554.2,3770,3435.14462,3597.415,3759.68538,9.021499027,0.96969447,3.992707089,23.87331478,-19.88060769,3758.2,3690,3729.8,3615,3649.84,3670.53,3653.58,3656.55,3684.63,3147080.33,58.02,3710.73,3691.66,3670.93,3631.13,3731.46,3750.53,3790.33,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,1.84,9.11,10.76,18.51,3669.1,3622.6,3645.85,3717.05,3479.75,9.45,,,3580,3669.1,3758.2
25-03-2022,112,3759.9,3779.5,3672,3707.45,1690130,3507.92428,1,3507.92428,3727.004529,3391.1,3882.5,3554.2,3770,3436.309445,3604.5975,3772.885555,9.337411739,0.805584671,7.399134733,21.82379394,-14.42465921,3779.5,3672,3758.2,3615,3650.99,3671.98,3658.48,3663.34,3690.34,3148794,54.02,3734.35,3710.5,3671.15,3607.95,3773.7,3797.55,3860.75,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,1.27,8.5,10.07,17.77,3679.75,3622.6,3651.175,3717.05,3513.4,9.79,,,3580,3679.75,3779.5
28-03-2022,113,3695,3713,3661.2,3707.7,1760990,3507.92428,1,3507.92428,3727.004529,3391.1,3882.5,3554.2,3770,3474.048394,3619.9,3765.751606,8.05832239,0.800990858,10.0036107,19.54261592,-9.539005227,3779.5,3661.2,3779.5,3615,3652.11,3673.38,3662.96,3669.25,3694.68,3137078.33,54.04,3719.65,3659.8,3612.15,3504.65,3767.3,3827.15,3934.65,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,3.08,10.44,9.75,17.43,3682.45,3613.05,3647.75,3717.05,3432.6,8.4,3661.2,,3580,3679.75,3779.5
29-03-2022,114,3694.75,3722,3691,3705.35,2689060,3507.92428,1,3507.92428,3727.004529,3391.1,3882.5,3554.2,3770,3486.210038,3629.13,3772.049962,7.876265745,0.766652745,11.74268889,17.0253553,-5.282666403,3722,3661.2,3779.5,3625,3653.16,3674.63,3666.81,3674.06,3697.35,3098330.67,53.8,3693.97,3674.94,3642.17,3590.37,3726.74,3745.77,3797.57,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,2.83,10.17,10.64,18.38,3697.25,3609.45,3653.35,3717.05,3445.1,8.2,,,3585.4,3682.45,3779.5
30-03-2022,115,3738,3738,3706.2,3731.55,1583460,3533.360565,1,3533.360565,3727.004529,3391.1,3882.5,3554.2,3770,3492.785051,3637.9975,3783.209949,7.983097814,0.822122863,15.06142322,16.2752717,-1.213848479,3738,3691,3779.5,3661.2,3654.72,3676.87,3672.69,3681.73,3705.9,2952721.33,56.13,3706.12,3690.24,3675.12,3644.12,3721.24,3737.12,3768.12,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,2.39,9.7,11.1,18.87,3697.25,3609.45,3653.35,3717.05,3438.75,8.31,,,3615,3697.25,3779.5
31-03-2022,116,3740,3754.65,3720.2,3739.95,2168110,3560.884056,1,3560.884056,3727.004529,3431.55,3779.5,3739.95,3552.5,3502.419675,3647.6875,3792.955325,7.964927074,0.817559997,18.16001652,15.499092,2.66092452,3754.65,3706.2,3779.5,3661.2,3656.4,3679.34,3678.81,3689.49,3714.41,2893935.67,56.88,3725.25,3712.5,3693.45,3661.65,3744.3,3757.05,3788.85,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,1.94,9.22,11.52,19.32,3697.25,3585.3,3641.275,3717.05,3412,8.3,,,3615,3697.25,3779.5
01-04-2022,117,3748,3763,3728.05,3758.75,1387010,3579.225619,1,3579.225619,3727.004529,3431.55,3779.5,3739.95,3552.5,3513.572007,3658.405,3803.237993,7.917821736,0.846416234,21.88045267,15.37562252,6.50483015,3763,3720.2,3779.5,3661.2,3658.43,3682.45,3686.08,3698.73,3725.5,2831605.67,58.58,3738.27,3721.89,3703.82,3669.37,3756.34,3772.72,3807.17,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,2.82,6.25,5.88,12.89,3702.25,3585.3,3643.775,3717.05,3408.65,8.24,,,3615,3697.25,3779.5
04-04-2022,118,3762,3780,3737.1,3770.35,1472990,3597.621959,1,3597.621959,3727.004529,3431.55,3779.5,3739.95,3552.5,3531.839511,3670.705,3809.570489,7.566148111,0.858782449,25.47133054,15.17320031,10.29813023,3780,3728.05,3763,3661.2,3660.65,3685.9,3693.74,3708.28,3736.71,2776226.33,59.64,3749.93,3736.86,3714.98,3680.03,3771.81,3784.88,3819.83,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,2.36,5.77,6.13,13.16,3720.6,3585.55,3653.075,3716.4,3414.9,7.86,,,3625,3702.5,3780
