Time,Open,High,Low,Last,Change,Volume
3/11/2020,0.009469,0.009596,0.009467,0.009582,0.000113,1769
3/10/2020,0.009763,0.009791,0.00945,0.009469,-0.000294,2116
3/9/2020,0.009494999,0.009869999,0.009494999,0.009763,0.000273,2576
3/6/2020,0.009422,0.009516999,0.009407,0.00949,6.80E-05,1197
3/5/2020,0.0093,0.009427,0.009287,0.009422,0.000122,1220
3/4/2020,0.009330999,0.009351999,0.009289999,0.0093,-3.10E-05,1245
3/3/2020,0.00923,0.009338,0.009217,0.009330999,0.000100999,1170
3/2/2020,0.009319,0.009319,0.009214,0.00923,-2.10E-05,1276
2/28/2020,0.009119,0.009295,0.009119,0.009251,0.000132,1131
2/27/2020,0.009055,0.009119,0.009055,0.009119,6.40E-05,1105
2/26/2020,0.009077,0.009077,0.009037,0.009055,-2.20E-05,1091
2/25/2020,0.009029,0.009093,0.009008999,0.009077,4.80E-05,1185
2/24/2020,0.008982,0.009055999,0.008958,0.009029,6.90E-05,1319
2/21/2020,0.008917999,0.008962,0.008917999,0.008959999,4.20E-05,1361
2/20/2020,0.008983,0.008993,0.008916,0.008917999,-6.50E-05,1433
2/19/2020,0.009101999,0.009101999,0.008965,0.008983,-0.000118999,1556
2/18/2020,0.009097,0.009114,0.009097,0.009101999,5.00E-06,1394
2/17/2020,0.009103999,0.009107,0.009097,0.009097,-1.30E-05,1395
2/14/2020,0.009106,0.00911,0.009101999,0.00911,4.00E-06,1410
2/13/2020,0.009083999,0.009115,0.009083999,0.009106,2.20E-05,1412
2/12/2020,0.009107,0.009107,0.009083,0.009083999,-2.30E-05,1419
2/11/2020,0.009113,0.009113,0.009098,0.009107,-6.00E-06,1366
2/10/2020,0.009118,0.00912,0.009103999,0.009113,4.00E-06,1456
2/7/2020,0.009094,0.009123,0.009091999,0.009109,1.50E-05,1386
2/6/2020,0.009107,0.009107,0.009094,0.009094,-1.30E-05,1397
2/5/2020,0.009132,0.009141999,0.009107,0.009107,-2.50E-05,1376
2/4/2020,0.0092,0.009206,0.009132,0.009132,-6.80E-05,1420
2/3/2020,0.009222,0.009225,0.009194,0.0092,-2.40E-05,1429
1/31/2020,0.009178,0.009225,0.009168,0.009223999,4.60E-05,1196
1/30/2020,0.009167,0.009203,0.009167,0.009178,1.10E-05,1294
1/29/2020,0.009161,0.009168,0.009156,0.009167,6.00E-06,1345
1/28/2020,0.009179,0.009187999,0.009161,0.009161,-1.80E-05,1381
1/27/2020,0.009184999,0.009188999,0.009167,0.009179,2.90E-05,1396
1/24/2020,0.009133,0.009153,0.009122,0.009149999,1.70E-05,1285
1/23/2020,0.009098,0.009144999,0.009098,0.009133,3.50E-05,1410
1/22/2020,0.009103999,0.009103999,0.009087,0.009098,-6.00E-06,1412
1/21/2020,0.009077,0.009103999,0.009076,0.009103999,2.70E-05,1430
1/20/2020,0.009085,0.009085,0.009077,0.009077,-1.00E-06,1452
1/17/2020,0.00908,0.00908,0.009071,0.009078,-2.00E-06,1434
1/16/2020,0.009097,0.009097,0.00908,0.00908,-1.70E-05,1423
1/15/2020,0.00909,0.009103999,0.00909,0.009097,7.00E-06,1411
1/14/2020,0.009098,0.009098,0.009079,0.00909,-8.00E-06,1413
1/13/2020,0.009132,0.009132,0.009098,0.009098,-3.30E-05,1467
1/10/2020,0.009133,0.009133,0.00912,0.009130999,-2.00E-06,1413
1/9/2020,0.009164,0.009167,0.009129,0.009133,-3.10E-05,1439
1/8/2020,0.009219999,0.009281999,0.009157,0.009164,-5.60E-05,1532
1/7/2020,0.009222,0.009229,0.009209,0.009219999,-1.00E-06,1435
1/6/2020,0.009265,0.009272,0.009219999,0.009221,-3.10E-05,1500
1/3/2020,0.009214,0.009263,0.009209,0.009252,3.80E-05,1489
1/2/2020,0.009195999,0.009233999,0.009188999,0.009214,1.10E-05,1446
12/31/2019,0.009183999,0.009213,0.009183999,0.009203,1.90E-05,1452
12/30/2019,0.009134999,0.009187999,0.009133999,0.009183999,4.90E-05,1437
12/27/2019,0.00912,0.009134999,0.00912,0.009134999,1.50E-05,1452
12/26/2019,0.009139,0.009139,0.00912,0.00912,-2.10E-05,1446
12/24/2019,0.009139,0.009141,0.009139,0.009141,2.00E-06,1438
12/23/2019,0.009136,0.009139,0.009134999,0.009139,5.00E-06,1432
