date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-01-31,168.9700,169.0000,161.5200,163.9100,163.9100,1063499,0.0000,1.0000
2020-01-30,157.2800,168.1000,157.0000,167.4300,167.4300,2068782,0.0000,1.0000
2020-01-29,154.0000,162.4800,152.7000,159.3100,159.3100,1445662,0.0000,1.0000
2020-01-28,150.2300,153.5763,149.7700,152.5700,152.5700,526412,0.0000,1.0000
2020-01-27,146.5200,152.2800,145.2000,148.7700,148.7700,890467,0.0000,1.0000
2020-01-24,150.0000,154.4500,149.9900,152.1100,152.1100,962783,0.0000,1.0000
2020-01-23,150.0100,150.6484,147.5400,148.5700,148.5700,536287,0.0000,1.0000
2020-01-22,149.7100,154.2400,149.3600,149.9600,149.9600,941663,0.0000,1.0000
2020-01-21,148.7300,152.8200,147.7500,148.6800,148.6800,1064240,0.0000,1.0000
2020-01-17,152.9100,153.1700,149.1000,149.3900,149.3900,810360,0.0000,1.0000
2020-01-16,153.2600,154.8423,149.6100,151.9000,151.9000,1029117,0.0000,1.0000
2020-01-15,153.2900,157.7900,151.6900,152.3800,152.3800,1392646,0.0000,1.0000
2020-01-14,154.5000,156.4145,151.2210,152.8300,152.8300,1823423,0.0000,1.0000
2020-01-13,150.5700,155.6800,150.0000,152.9100,152.9100,1377290,0.0000,1.0000
2020-01-10,149.3000,150.7600,146.2000,149.2300,149.2300,2764328,0.0000,1.0000
2020-01-09,142.6600,152.0100,142.5400,149.9600,149.9600,4133999,0.0000,1.0000
2020-01-08,138.9000,141.6400,136.2300,140.2700,140.2700,979052,0.0000,1.0000
2020-01-07,140.5000,142.6100,138.2500,138.8600,138.8600,673596,0.0000,1.0000
2020-01-06,132.8800,140.8900,132.7050,140.5000,140.5000,1254823,0.0000,1.0000
2020-01-03,132.4300,136.2200,131.7600,135.2900,135.2900,598563,0.0000,1.0000
2020-01-02,130.1800,134.6700,126.0800,134.3300,134.3300,1166400,0.0000,1.0000
2019-12-31,127.9100,132.1200,127.0100,131.6100,131.6100,768498,0.0000,1.0000
2019-12-30,133.8800,134.6600,128.4528,128.9300,128.9300,904778,0.0000,1.0000
2019-12-27,135.5200,135.8500,132.6300,134.1300,134.1300,441098,0.0000,1.0000
2019-12-26,132.9200,137.4429,132.3100,135.0200,135.0200,710574,0.0000,1.0000
2019-12-24,132.3900,133.0789,130.4743,132.5500,132.5500,501127,0.0000,1.0000
2019-12-23,130.7500,133.2900,130.1100,132.3600,132.3600,641720,0.0000,1.0000
2019-12-20,131.2500,132.6899,129.6600,130.6800,130.6800,836492,0.0000,1.0000
2019-12-19,130.6000,132.9000,128.5700,130.9600,130.9600,861351,0.0000,1.0000
2019-12-18,129.2900,132.3900,128.5600,129.1800,129.1800,1059895,0.0000,1.0000
2019-12-17,133.2200,133.7300,128.1900,129.3900,129.3900,1009981,0.0000,1.0000
2019-12-16,128.9200,132.5200,126.5208,132.2600,132.2600,1362153,0.0000,1.0000
2019-12-13,124.9700,128.8228,124.2000,128.4100,128.4100,1226008,0.0000,1.0000
2019-12-12,127.1300,127.9100,123.6900,124.7300,124.7300,1705146,0.0000,1.0000
2019-12-11,128.5600,129.7450,123.3700,128.0000,128.0000,2327410,0.0000,1.0000
2019-12-10,144.7700,144.8000,126.2800,129.1800,129.1800,7397594,0.0000,1.0000
2019-12-09,130.5000,134.1500,130.3862,131.0100,131.0100,2019214,0.0000,1.0000
2019-12-06,132.3000,132.8700,130.1600,131.1700,131.1700,1168673,0.0000,1.0000
2019-12-05,136.6400,136.6400,131.0800,131.3700,131.3700,1275115,0.0000,1.0000
2019-12-04,142.4100,142.4900,135.1000,136.4800,136.4800,1153706,0.0000,1.0000
2019-12-03,132.5400,143.1600,130.3800,142.6800,142.6800,1384296,0.0000,1.0000
2019-12-02,147.1800,147.1800,134.9800,137.4300,137.4300,1513117,0.0000,1.0000
2019-11-29,149.5700,150.7500,148.3806,148.7000,148.7000,359878,0.0000,1.0000
2019-11-27,149.0800,150.2100,147.1300,149.7700,149.7700,701243,0.0000,1.0000
2019-11-26,146.7100,151.1300,146.7100,149.6300,149.6300,910566,0.0000,1.0000
2019-11-25,148.2300,149.7462,145.9000,146.8800,146.8800,791983,0.0000,1.0000
2019-11-22,148.1100,148.7500,144.1200,147.9200,147.9200,718830,0.0000,1.0000
