Date,Open,High,Low,Close,Volume
2020-05-19 09:00:00,2.11e-05,2.118e-05,2.106e-05,2.113e-05,324959.0
2020-05-19 10:00:00,2.114e-05,2.119e-05,2.107e-05,2.118e-05,400205.0
2020-05-19 11:00:00,2.119e-05,2.119e-05,2.094e-05,2.11e-05,1004006.0
2020-05-19 12:00:00,2.114e-05,2.133e-05,2.109e-05,2.121e-05,735355.0
2020-05-19 13:00:00,2.121e-05,2.125e-05,2.112e-05,2.116e-05,225666.0
2020-05-19 14:00:00,2.118e-05,2.122e-05,2.102e-05,2.111e-05,200795.0
2020-05-19 15:00:00,2.112e-05,2.132e-05,2.103e-05,2.13e-05,491363.0
2020-05-19 16:00:00,2.128e-05,2.132e-05,2.11e-05,2.124e-05,418583.0
2020-05-19 17:00:00,2.124e-05,2.136e-05,2.122e-05,2.127e-05,420179.0
2020-05-19 18:00:00,2.129e-05,2.131e-05,2.116e-05,2.12e-05,258836.0
2020-05-19 19:00:00,2.12e-05,2.133e-05,2.117e-05,2.124e-05,177158.0
2020-05-19 20:00:00,2.125e-05,2.133e-05,2.121e-05,2.125e-05,300338.0
2020-05-19 21:00:00,2.124e-05,2.132e-05,2.121e-05,2.132e-05,293891.0
2020-05-19 22:00:00,2.133e-05,2.137e-05,2.109e-05,2.117e-05,345629.0
2020-05-19 23:00:00,2.113e-05,2.126e-05,2.11e-05,2.114e-05,314576.0
2020-05-20 00:00:00,2.114e-05,2.145e-05,2.107e-05,2.145e-05,582235.0
2020-05-20 01:00:00,2.143e-05,2.151e-05,2.14e-05,2.15e-05,274954.0
2020-05-20 02:00:00,2.147e-05,2.147e-05,2.14e-05,2.144e-05,216309.0
2020-05-20 03:00:00,2.141e-05,2.146e-05,2.13e-05,2.134e-05,285131.0
2020-05-20 04:00:00,2.134e-05,2.146e-05,2.128e-05,2.14e-05,170622.0
2020-05-20 05:00:00,2.14e-05,2.146e-05,2.135e-05,2.139e-05,182695.0
2020-05-20 06:00:00,2.139e-05,2.152e-05,2.13e-05,2.139e-05,665345.0
2020-05-20 07:00:00,2.144e-05,2.163e-05,2.139e-05,2.161e-05,454712.0
2020-05-20 08:00:00,2.161e-05,2.168e-05,2.15e-05,2.162e-05,477255.0
2020-05-20 09:00:00,2.161e-05,2.166e-05,2.149e-05,2.153e-05,438650.0
2020-05-20 10:00:00,2.151e-05,2.152e-05,2.138e-05,2.142e-05,361251.0
2020-05-20 11:00:00,2.142e-05,2.145e-05,2.136e-05,2.137e-05,237000.0
2020-05-20 12:00:00,2.136e-05,2.141e-05,2.127e-05,2.136e-05,541752.0
2020-05-20 13:00:00,2.136e-05,2.157e-05,2.136e-05,2.157e-05,413093.0
2020-05-20 14:00:00,2.157e-05,2.16e-05,2.145e-05,2.149e-05,498848.0
2020-05-20 15:00:00,2.147e-05,2.15e-05,2.126e-05,2.135e-05,1175407.0
2020-05-20 16:00:00,2.135e-05,2.143e-05,2.122e-05,2.131e-05,669973.0
2020-05-20 17:00:00,2.133e-05,2.134e-05,2.117e-05,2.129e-05,508287.0
2020-05-20 18:00:00,2.129e-05,2.137e-05,2.126e-05,2.132e-05,182369.0
2020-05-20 19:00:00,2.132e-05,2.135e-05,2.117e-05,2.123e-05,332023.0
2020-05-20 20:00:00,2.122e-05,2.127e-05,2.116e-05,2.127e-05,233107.0
2020-05-20 21:00:00,2.127e-05,2.131e-05,2.122e-05,2.13e-05,283264.0
2020-05-20 22:00:00,2.13e-05,2.138e-05,2.126e-05,2.137e-05,155128.0
2020-05-20 23:00:00,2.137e-05,2.149e-05,2.134e-05,2.145e-05,385498.0
2020-05-21 00:00:00,2.144e-05,2.15e-05,2.136e-05,2.149e-05,532283.0
2020-05-21 01:00:00,2.149e-05,2.156e-05,2.145e-05,2.145e-05,172228.0
